Company_Name,Website,Location,Minimum Project Size,Average Hourly Rate,Number of Employees,Percent AI Service Focus,Ciudad,Estado,Pais,Disponibilidad_MinProject,Disponibilidad_HourlyRate,Employees_Num,Tamaño_Empleados,Clasificación por número de empleados,Tipo de proveedor / segmento de análisis,Segmentación servicios AI,Descripción Segmentación,Clasificación por regiones,Transparencia_Comercial,continent,country,iso_code,conteo_pais
FRANKHOOD,https://www.frankhood.it/,"Bari, Italy","$10,000+",$50 - $99 / hr,10 - 49,40%,Bari,,Italy,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Italy,ITA,18
Develandoo,http://www.develandoo.com,"Yerevan, Armenia","$25,000+",$25 - $49 / hr,50 - 249,50%,Yerevan,,Armenia,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Asia,2,Asia,Armenia,ARM,11
DogtownMedia,https://www.dogtownmedia.com/,"Los Angeles, CA","$25,000+",$100 - $149 / hr,10 - 49,10%,Los Angeles,CA,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
It-Jim,https://www.it-jim.com/,"Kharkiv, Ukraine","$5,000+",$50 - $99 / hr,10 - 49,75%,Kharkiv,,Ukraine,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,2,Europe,Ukraine,UKR,92
FirstLineSoftware,https://firstlinesoftware.com/,"Cambridge, MA","$50,000+",$25 - $49 / hr,250 - 999,10%,Cambridge,MA,USA,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
Quantum,https://quantumobile.com/,"Kharkiv, Ukraine","$50,000+",$50 - $99 / hr,50 - 249,70%,Kharkiv,,Ukraine,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,2,Europe,Ukraine,UKR,92
NeoITO,https://www.neoito.com,"Salt Lake City, UT","$10,000+",$25 - $49 / hr,50 - 249,15%,Salt Lake City,UT,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
DayOneTechnologies,https://www.day1tech.com/,"Bengaluru, India","$50,000+",$50 - $99 / hr,50 - 249,60%,Bengaluru,,India,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Asia,2,Asia,India,IND,441
ApplaudoStudios,https://applaudostudios.com/nb/free-consultation/,"San Salvador, El Salvador","$10,000+",$50 - $99 / hr,250 - 999,20%,San Salvador,,El Salvador,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Centroamérica,2,Central America,El Salvador,El Salvador,5
Dotsquares,https://www.dotsquares.com/,"London, United Kingdom","$5,000+",< $25 / hr,250 - 999,10%,London,,United Kingdom,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,United Kingdom,GBR,304
WaveAccess,http://www.wave-access.com/,"Higham, United Kingdom",Undisclosed,$50 - $99 / hr,250 - 999,10%,Higham,,United Kingdom,No informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,1,Europe,United Kingdom,GBR,304
TECHVEDConsultingIndiaPvt.Ltd,http://www.techved.com,"Mumbai, India","$50,000+",$50 - $99 / hr,50 - 249,15%,Mumbai,,India,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
CedexTechnologiesLLP,https://www.cedextech.com/,"Kochi, India","$5,000+",< $25 / hr,10 - 49,25%,Kochi,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
Skcript,https://www.skcript.com/,"Chennai, India","$10,000+",$50 - $99 / hr,10 - 49,20%,Chennai,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
Wealize,https://wealize.digital/,"Córdoba, Spain","$25,000+",$50 - $99 / hr,10 - 49,20%,Córdoba,,Spain,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Spain,ESP,29
matom.ai,https://www.matom.ai/,"Kaunas, Lithuania","$5,000+",$50 - $99 / hr,2 - 9,45%,Kaunas,,Lithuania,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Lithuania,LTU,12
HashCoded.o.o.,https://hashcode.hr/,"Zagreb, Croatia","$25,000+",$50 - $99 / hr,10 - 49,10%,Zagreb,,Croatia,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Croatia,HRV,17
ThetaTechnolabs,http://thetatechnolabs.com/,"Ahmedabad, India","$5,000+",< $25 / hr,10 - 49,25%,Ahmedabad,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
PythonDevs,https://pythondevs.org/,"Noida, India","$1,000+",$25 - $49 / hr,10 - 49,25%,Noida,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
MistyWest,https://mistywest.com/,"Vancouver, Canada","$25,000+",$200 - $300 / hr,10 - 49,25%,Vancouver,,Canada,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,Canada,CAN,126
Singularika,https://singularika.com/en/,"Odesa, Ukraine","$5,000+",$25 - $49 / hr,10 - 49,20%,Odesa,,Ukraine,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Ukraine,UKR,92
Requestum,http://requestum.com,"Kharkiv, Ukraine","$5,000+",$25 - $49 / hr,50 - 249,20%,Kharkiv,,Ukraine,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Ukraine,UKR,92
DIGI117,https://digi117.com,"Vancouver, Canada","$1,000+",$50 - $99 / hr,10 - 49,20%,Vancouver,,Canada,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,Canada,CAN,126
3topia,http://3topia.agency/,"Zagreb, Croatia","$5,000+",$50 - $99 / hr,2 - 9,30%,Zagreb,,Croatia,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Croatia,HRV,17
Arbusta,http://arbusta.net,"Ciudad Autonoma de Buenos Aires, Argentina","$5,000+",$25 - $49 / hr,250 - 999,10%,Ciudad Autonoma de Buenos Aires,,Argentina,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Sur,2,South America,Argentina,ARG,29
MintyMint,https://mintymint.net/,"Kyiv, Ukraine","$10,000+",$25 - $49 / hr,50 - 249,15%,Kyiv,,Ukraine,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Ukraine,UKR,92
KrishCompusoftServicesInc.,https://www.kcsitglobal.com,"Iselin, NJ","$100,000+",$25 - $49 / hr,250 - 999,10%,Iselin,NJ,USA,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
WalkingTreeTechnologies,https://walkingtree.tech/,"Hyderabad, India","$10,000+",$25 - $49 / hr,50 - 249,15%,Hyderabad,,India,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
NyrosTechnologies,https://www.nyros.com,"Kakinada, India","$25,000+",$25 - $49 / hr,10 - 49,20%,Kakinada,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
QTeamSoftwareSolutions,http://qteam.solutions,"București, Romania","$10,000+",$50 - $99 / hr,10 - 49,20%,București,,Romania,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Romania,ROU,27
MoogleLabs,https://www.mooglelabs.com/,"Surrey, Canada","$1,000+",$25 - $49 / hr,10 - 49,20%,Surrey,,Canada,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,Canada,CAN,126
FraSal,https://frasal.uy,"Montevideo, Uruguay",Undisclosed,$25 - $49 / hr,2 - 9,25%,Montevideo,,Uruguay,No informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Sur,1,South America,Uruguay,URY,22
Kernelics,https://kernelics.com,"Limassol, Cyprus","$10,000+",$50 - $99 / hr,50 - 249,10%,Limassol,,Cyprus,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Cyprus,CYP,5
EDSA,http://edsa.consulting/,"Tandil, Argentina","$10,000+",$25 - $49 / hr,50 - 249,15%,Tandil,,Argentina,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Sur,2,South America,Argentina,ARG,29
ConversionScience,http://www.conversionscience.co.za,"Cape Town, South Africa","$1,000+",$50 - $99 / hr,10 - 49,20%,Cape Town,,South Africa,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,África,2,Africa,South Africa,ZAF,7
FlowLabs,https://flow-labs.io,"Montevideo, Uruguay","$10,000+",$25 - $49 / hr,2 - 9,40%,Montevideo,,Uruguay,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Sur,2,South America,Uruguay,URY,22
Netfork,https://netfork.io,"Novi Sad, Serbia","$10,000+",$50 - $99 / hr,250 - 999,10%,Novi Sad,,Serbia,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Serbia,SRB,13
Contic,https://www.contic.co.uk/,"London, United Kingdom","$10,000+",Undisclosed,10 - 49,10%,London,,United Kingdom,Informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,1,Europe,United Kingdom,GBR,304
Crescita,https://thecrescita.co.in/,"Pune, India","$1,000+",$25 - $49 / hr,10 - 49,30%,Pune,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
ConvergeSol,https://www.convergesolution.com,"Ahmedabad, India","$5,000+",$25 - $49 / hr,50 - 249,20%,Ahmedabad,,India,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
EmitKnowledge,http://www.emitknowledge.com,"Skopje, North Macedonia","$5,000+",$25 - $49 / hr,10 - 49,20%,Skopje,,North Macedonia,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,North Macedonia,MKD,7
ArStudioz,https://arstudioz.com/,"Jaipur, India","$5,000+",$25 - $49 / hr,10 - 49,15%,Jaipur,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
TheMadBotter,https://themadbotter.com/,"Plant, FL","$10,000+",$100 - $149 / hr,2 - 9,25%,Plant,FL,USA,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
Lundegaard,https://www.lundegaard.eu/,"Praha 8, Czech Republic","$5,000+",$50 - $99 / hr,50 - 249,20%,Praha 8,,Czech Republic,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Czech Republic,CZE,24
Madiff,http://madiff.eu,"Warszawa, Poland","$1,000+",$50 - $99 / hr,50 - 249,20%,Warszawa,,Poland,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Poland,POL,147
Codahead,https://codahead.com,"Kraków, Poland","$10,000+",$50 - $99 / hr,50 - 249,20%,Kraków,,Poland,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Poland,POL,147
GoldfishCode,http://www.goldfishcode.com,"New York, NY","$25,000+",$50 - $99 / hr,50 - 249,10%,New York,NY,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
DLRConsultants,http://www.dlrconsultants.uk,"Fleet, United Kingdom","$1,000+",$50 - $99 / hr,2 - 9,30%,Fleet,,United Kingdom,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,United Kingdom,GBR,304
VMOHoldings,http://www.vmodev.com,"Hanoi, Vietnam","$5,000+",< $25 / hr,250 - 999,10%,Hanoi,,Vietnam,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,Vietnam,VNM,29
Web3.0India,https://web30india.com/,"Ahmedabad, India","$5,000+",$25 - $49 / hr,50 - 249,10%,Ahmedabad,,India,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
Consensus,https://cstechlab.com/,"ACM, Argentina","$1,000+",Undisclosed,50 - 249,15%,ACM,,Argentina,Informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Sur,1,South America,Argentina,ARG,29
DataGeniusTechnologiesLLC,https://datageniustech.com/,"Providence, RI","$1,000+",$50 - $99 / hr,10 - 49,20%,Providence,RI,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
Dexlock,http://www.dexlock.com,"Dubai, United Arab Emirates","$50,000+",$25 - $49 / hr,50 - 249,20%,Dubai,,United Arab Emirates,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Oriente Medio,2,Middle East,United Arab Emirates,ARE,39
Appsnado,https://appsnado.com,"Mount Laurel Township, NJ","$10,000+",$50 - $99 / hr,50 - 249,10%,Mount Laurel Township,NJ,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
Makers'Den,http://makersden.io,"Berlin, Germany","$10,000+",$50 - $99 / hr,2 - 9,15%,Berlin,,Germany,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Germany,DEU,47
EastgateSoftwareJSC,http://www.eastgate-software.com/,"Hanoi, Vietnam","$10,000+",$25 - $49 / hr,50 - 249,20%,Hanoi,,Vietnam,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,Vietnam,VNM,29
MatrixMarketers,https://www.matrixmarketers.com,"New York, NY","$10,000+",$25 - $49 / hr,50 - 249,15%,New York,NY,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
